text,sentiment
"Hmm semua itu karena elite global, kalo mmg karena pemerintahan dan MBG emang zaman jokowi ga ada korupsi? ada juga sama aja juga isi pemerintahannya MBG juga uangnya mungkin hampir memutar ke kalangan atas dan bawah indonesia kenapa rupiah sangat melemah???, itumah elite global rupiah melemah karena pengaruh elite global lari semua uang indonesia ke luar terus menghilangkan kepercayaan investor2 terhadap indonesia",negative
"Loose lips sink ship. Ini krn regulasi, contoh biarkan Shell, BP, AKR, Exxon impor BBM sendiri agar mengurangi beban Pertamina. Bubarkan Danantara, karena cuma calo. Fakta, saham Garuda diakusisi 93% hasilnya, nyariin leasing Garuda, kerja Wadirut cuma pecat karyawan, Direktur Marketing tidak kompeten, titipan ordal. Malah, now, export sawit, Bbara mau ikut ikut. Kompetensi Rosan cuma staf Bakrie, kita tau lah reputasi nya Bakrie.",negative
rupiah melemah karena sell off rupiah besar besaran oleh singapura,neutral
"Laporan perusahaan robotech, duit tidak masuk, moderenisasi tidak selesai, internet bermasalah, mobil-mobil tidak ada, motor oke, pindah ke eropa,stop di account youtube",negative
"Labil banget yak, awalnya cm satu orang aja ngomong sell indonesia, beneran se-indonesia jd ruamee, rp anjlok.. stok kopi aman? 😂😂😂",negative
"Terimakasih kontennya, sangat edukatif",positive
Pemerintah nya tuh yg nga becus mengurus negara cuma penting kn diri sendiri saja tdk mikirkan cara nya supaya negara bisa maju tuh gmna cara nya pdhl rakyat sdh byk yg menderita terutama rakyat bawah.,negative
"😂🤣😂🤣🤣😂🤣  pemerintahan penuh tipu-tipu? 😂😂🤣🤣 adakah sesuatu yang bisa diandalkan dari presiden, DPR, gubernur, DPRD dan bupati semuanya ala Rp.50 K? 😂😂😂🤣🤣 presidennya antek bekas presiden bekas? 😂😂🤣🤣😂 dan tentu saja sejak lama semua sudah dikendalikan asing & aseng? 😂😂😂",negative
Kyk Ngajarin anak kecil y kooh 🗿🗿 pke nyamain 98 sama yg sekarang. Jelas² suatu asset akan selalu membuat ATH nya seiring waktu.,negative
dari salah satu youtuber ada kebijakan Quantitative Easing (QE) sehingga walau bi rate naik tapi rupiah tetap turun terus,neutral
INDON tidak kena pajak bro LEON.,negative
"Indonesia politikus nya nggak pentingin midterm nya,mereka pentingin nanti pas lagi kampanye yaitu mulai tahun ke 5 masa jabatan nya,disitulah mereka caper lagi.Kalau rupiah melemah di tahun ke 5 pemerintahan prabowo,pasti dia gerak cepat supaya di mata masyarakat indonesia dia bisa mengatasi krisis",negative
"Akar masalahnya kebanyakan nonton influencer, ingat saham konglo uda pd nyangkut ritel banyak korban 😂",negative
Apa karena menkeu menolak meminjam dr IMF makannya idr melemah?,neutral
"jujur ya, kalau lu mau benahi Indo, lu harus flash back apa yg indo sdh tanda tangan. Contoh globalisasi finance. Dgn globalisasi finance, Soros garong duit ke Indo, detik itu juga dollar nya bisa di tarik ke  Amerika. Lu percuma ngomong makro dan mikro kalau infrastruktur finance Indo masih pakai sistem Amerika yg korup.

Gak percaya?

Lu lihat link ini, China di patok 39% dari total ekonomi Amerika dan China dari 2025 - 2028 dan cuma naik 1% di thn 2031.

Yg lain?

a. Currency sumber bloomberg.
1. USA allies
A. UK - 1 USD = 0.74 Pound
B.  Europe, 1 USD = 0. 84 Euro
c. Jordan, 1 USD = 0.70 Jordan dollar
d. Singapore, 1 USD = 1.27 Singapore dollar
e. etc.

2. Non USA allies
1. Iran, 1 USD = 1.3 juta rial
2. Venezuela, 1 USD = 50 juta Bolivar VEF
3. Indonesia, 1 USD = 17.717 Rp dari  1 USD = Rp 5
4. Iran, 1 USD = 1100 dinar dari 1 USD = 0.3 dinar
5. dsb.

B Credit rating berdasarkan Moody's
1. US aliies
a. Amerika, Aa1
b. Inggris,  Aa3
c. Singapore, Aa3
d. Saudi, Aa3
e. dsb

2. Non-USA allies
a. Indonesia, Ba2
b. China, A1
c. Iran, no credit rating
d. Korut, no credit rating
e. Russia, no credit rating
f. dsb

c. Index korupsi berdasarkan Transparency International (TI)
1. USA allies.
a. Amerika, no 29
b. Inggris, no 20
c. Denmark, no 1
d. Singapore, no 3
e. NZ, no 4

2. Non-USA alilies
a. China no 76
b. Indonesia, 109
c. Russia, 157
d. Venezuela, 180
e. dsb",neutral
"Isi pemerintah nya dr DPR, pemerintah, penegak hukum banyak kaum oligarki.cuma mikir diri sendiri",negative
Bs dilihat indonesia gak maju tetapi malahan melemah.😂,negative
ambyaar,negative
Ini kabinet yg bener bener kaya lemari kosong ...belum menteri keuangannya suka asbun nggak perduli investor 😢😢😢rusak kaya bossnya,negative
"Inti dr segala inti pemerintah GA KOMPETEN samsek manage negara. Pimpinan narsistik blgny buat rakyat padahal ada tujuan lain, cuma kedok. Ga trima kritik dan ga open. Belanja dg mata uang asing gila2an demi menguntungkan golongan sendiri.",negative
Currency War is commencing,neutral
Menurut ku sih saat ini dollar sedang menguat seperti terlihat pada aux/usd,neutral
Saya senang ni channel. Karena kritiknya baik dan membangun tpi disatu sisi berimbang ♥️,positive
Kuliah gratis. makasih koh 😊,negative
kalau 17 845 indonesia merdeka kata PDIP,negative
Ekonomi gak serepot yg di bayangkan brow. Ekonomi gak lebih sulit dari main domino. Kuat tidak nya ekonomi tergantung kartu yg ada ditangan anda. Yg tau kartu bukan anda tapi otoritas yg di kasih mandad,neutral
ZOEL/PLOEZ BANYAKNYA KORUPTOOR PENYIMPAN $,negative
Dikata yang coment2 yg lihat video dan yg bikin video orang2 bodoh bagi mereka..,negative
"Menurut ku ekonomi sangat terdampak dari karakter pejabat dan hukum di dalam negeri.
Ketidak amanan membuat investor pada tidak percaya dengan negara ini.",neutral
Bagus donk rupiah melemah agar mendorong ekspor. Bukan mau mendorong impor kan? Dgn gitu pengekspor akan lebih digiatkan. Biar aja pengimpor rugi!!!!!! ❤❤❤❤,negative
"Cek berapa jumlah korban di lebaran haji tahun ini,,,!",neutral
"Penjelasannya ringan, mudah diterima",positive
"Kalau Danamas Dollar, bisa langsung buka akun di Sinarmas (bank, atau broker), karena min investnya masih bisa di 100 USD",neutral
"asal kita gak impor gak ngaruh tuh rupiah turun,, malah kita ekspor pakai dollar malah lebih untung kan kayaknya? cuma hanya orang kaya yg suka keluar yg ngerasa rugi,, pengusaha yang impor yang pusing,, kalo desa mah,, gak ngaruh,, asal bahan pokok gak impor jadi harga masih stabil,, atau asal harga pokok stabil mah,, gak ngaruh rupiah turun...",neutral
"masalah intinya itu dollar naik rupiah turun mempengaruhi kita rakyat gak sih? kalo aku rakyat bawah sih gak sih? malah yg tkw desa2 suka pada kirim uang ke indo,, yg rugi kan yg beli sesuatu di luar negeri yg suka barang luar,, mungkin dengan rupiah melemah di banding dollar,, malah membuat rakyat membeli produk negeri sendiri,, kalo kita masih mendewakan dollar,, kita boneka ASSSS.. jadi cecunguk mereka yang mudak di kendalikan,..",neutral
"98-2013 stabil, 2014-2026 naek

Hmmm mulai era nya sapa tuuhh 👀",negative
"trump pidato atau bercuit di x dolar us saham us naik
kalau indo..........🫢",negative
"Makin tipis rambut pala, ko.",negative
"Selama niatnya Prabowo dan si gibran mau menggemukan dompet mereka dan kroninya melalui jabatan publiknya, rakyat nggak penting dan bangsa nggak penting. Iya kan koh? Kembali ke NIAT PEJABAT PUBLIKNYA.",negative
"Cepat jual dolar, peningkatan usd hanya fluktuasi tahunan krn permintaan melonjak ken masyarakat dan pemerintaj memerlukannya u ibadah haji. Saya sdh mengamatinya bertahun tahun.🙏",negative
"1. Korupsi
2. Perizinan ribet
3. Kepastian hukum (peraturan berubah2)",negative
UP,neutral
Karena emang gak ada political will dari negara sendiri.,negative
"😂 maka nya kalau ada calon wakil negara nyogok uang 50 ribu tuh jangan di ambil. 
 Ya menderita nya 5 taun",negative
"Akari masalahnya yah koruptor coba di sah kan uu perampasan aset koruptor dan hukuman mati di jamin uang kas negara terjaga juga bisa bayar utang negara dengan lancar..
Hasil bumi negara kita melimpah sayangnya banyak oknum yang menyala gunakan seperti emas timah bahkan nikel belum lagi hasil nelayan dan tani gak di perhatiin jadi pake hasil luar negeri😅😅",negative
setahu saya indon kuponnya pajaknya 0% karena insentif pemerintah buat investor intl ....,negative
Bagaimana membandingkan dengan harga BBM import dan material lainnya ?,neutral
Prabowo ni mbah mbah demensia semoga cepet lengser,negative
"BETUL SEKALI BANG.. INI BISA DI BUKTIKAN KINERJA PARA MENTERI PRABOWO.. 
GUBERNUR BI YANG TERPENTING DALAM MENGENDALIKAN RUPIAH KE DOLLAR AS",neutral
Amerika sj lagi perang ko dolar tdk turun. Padahal indo aman2 sj kenapa Rupia turun.,neutral
"Gue pribadi sendiri dari awal sepakat. inti dari kejadian sekarang bisa jadi dari Regulasi.. yang dimana asing enggan naro investasi disini... tapi selama ini penegakan korupsi gencar banget loh di pemerintahan prabowo. Jadi asumsi karna tinggi nya korupsi/penegakan hukum apa masih relefan? Gue pribadi mikirnya ini karna kebijakan pemerintah terkait investasi aja.. yang akhir2 ini memang berubah terus... dan prabowo sendiri fokusnya ke dalam negeri. (MBG, Kopdes, dll).. bukannya mbg dll salah ya.. Gue pribadi gak masalah terkait ini.",neutral
Astronom,neutral
"Pas jaman pa harto rakyat masih merasakan harga murah ga susah2 banget lah hidupnya rakyat walaupun di balik itu rupiah berdarah2. Makanya populer meme ""enak jaman ku to"".
Lah kalau sekarang kalian bisa rasakan sendiri lah ❤",negative
"Setiap kebijakan pemerintah akan ada dampak ""negatif"" nya, meskipun seolah itu hal yg tidak ada dampak negatifnya.

penegakan hukum itu mungkin terkesan tidak ada harga negatifnya, tapi mencapainya [BISA] jadi itu ada harga yg harus dibayar.

Orang sering menggunakan angka ini untuk mengejek kubu prabowo, tapi di saat bersamaan 58% ini adalah realitas politik rakyat indonesia (tentu 58% itu bukan berarti jumlah masyarakat indonesia). 58% persen masyarakat itu tidak siap",negative
"Thank u utk kuliahnya, ko Leon 🙏🏾🙏🏾🙏🏾",negative
Menteri aja pesanan dan orang2 partai. Anggota dpr aja ada yg tamatan SD doang. Presiden sekarang udah 4x gagal baru terpilih. Mau harap apa dari konoha,negative
UMR Indonesia gak ngotak. Negara lain 20jt Indonesia 3.5jt. Biadab,negative
"Kenapa rupiah terus inflasi selama bertahun tahun ?
karena setiap hari kita mengadaikan rupiah ke dollar untuk beli minyak dan Gas selama puluhan tahun kemudian dibakar, kan bego ..",negative
konten mahal isi daging yang pejabat kita gabisa jelasin,negative
"Baru sampe detik 50 sy sudah ada kesimpulan, g ada harapan.... selebihnya cuma konfirmasi, ternyata indo (at least rezim wowo dan wiwi) memang g akan pernah bisa mencapai hal itu..",negative
"kalian pilih mana? Dolar = Rp 7000 tapi UMR $20 atau dolar = Rp 17000 tapi UMR $200

Tahun 1999 UMR rata rata nasional naik dari Rp 150rb ke Rp 180rb, kenaikan rupiah mendongkrak UMR saat itu dari $16 ke $23 per bulan

Tapi kalau dibanding UMR sekarang itu tidak seberapa

Karena UMR rata rata nasional 2025 adalah $200 , hampir 10 kali lipat tahun 1999

Kita selalu melihat turunnya dolar pada tahun 1999 sebagai sesuatu yg luar biasa dibanding saat ini

tapi kita lupa bahwa kenaikan gaji kita dibanding 1999 sebanarnya jauh lebih luar biasa

Jadi lebih baik kita bersyukur daya beli kita naik walaupun rupiah turun, karena itu jauh lebih penting",neutral
"INDON Valas setahu saya pajaknya ditanggung pemerintah. Memang kalau Obligasi IDR ada potongan pajak kupon 10%, tapi kalau INDON Valas tidak ada. CMIIW.",neutral
"Pemerintah masi memandang  pasar saham tempatnya orang kaya .... pandangan sesat sekali
1. Pasar saham = etalase ekonomi negara jika buram apalagi retak investor kabur  apalagi asing.
2. Retakan sekarang mulai merembet ke industri besar (penebangan,),  UKM (nelayan, RM dll).
3. Pasar modal sudah menjadi  tempat usaha investor  retail  nyambi  dagang, kerja, ngojek nunggu  lamaan kerja
tolong Pemerintah jangan pakai narasi  basi (fundamental ekonomi kuat  dll)  tapi  selesaikan  MBG, Kopdes MP, subsidi tidak tepat sasaran, 
4. Menkeu dan Presiden  tolong irit  biciara  selesaikan saja masalah  no.3  inshaAllah pasar bereaksi positif
tks  bro Leo  ...  teruslah bersuara",negative
"Leon, coba pelajari bagaimana pak Habibie bisa menurunkan USD. Yang dia kerjakan waktu itu adalah:
1. Membuka kebebasan pers utk transparansi
2. Memperbaiki sistem perbankan yang amburadul dan korup dengan mendirikan BPPN dan pembentukan Bank Mandiri (dimana Bank Mandiri mengadopsi sistemnya Deutsh Bank)
3. Merestukturisasi hutang luar negeri perusahaan2 di Indonesia yang waktu itu marak berhutang USD, lewat  badan namanya INDRA
4. Kolaborasi dgn  IMF 
DLL

Coba bandingkan dengan keadaan kita sekarang:
1. Penyiraman air keras terhadap pengkritik dan sikap2 anti kritik pemerintah lewat pidato2 Presiden
2. Tidak ada perbaikan di area2 korupsi dan penegakan hukum yang serampangan 
3. Kesulitan merestrukturisasi hutang2 dalam USD karna yang terbesar justru hutang2 pemerintah akibat proyek2 yang bekerjasama dgn pihak luar (misal hutang proyek kreta cepat Jkt Bandung)
4. Menutup diri thd pihak asing sewaktu diperlukan (contoh waktu bencana banjir di Sumatera)",negative
"GRafik kurs yang bagus jaman SBY setelahnya, naik2 kepuncak gunung...",negative
Ringgit menguat. IDR selalu melemah dari 2013,neutral
"Ini karena interen bro rakyat diperas hasil nya mereka pindah kan keluar negeri oleh penguasa juga orang"" yang punya duit...mereka bukan berpikir untuk kemakmuran rakyat, berpikir mereka yg penting mereka aman masalah rakyat sengsara itu cukup diberi BLT selesai otak mereka memang otak penjajah....",negative
Hukum harus ditegakkan tanpa pandang bulu maka akan bedampak sangat baik pada semua sektor,neutral
"Soeharto said, ""enak jamanku tooh?""",negative
"Sesuai ramalan Pdt Daud Tony nanti bln Juni :
- stagflasi dimana inflasi dan deflasi bertemu dlm 1 titik
- bln Juni jatuh tempo pembayaran hutang negara

Akibatnya effek ke pelemahan rupiah bakal berlanjut.",neutral
Cara untuk melemahkan negara intoleran dan pendukung organisasi teroris adalah cukup goyangkan nilai mata uangnya seperti Iran !,negative
Yg getol banget pengen GANTI REZIM . Sepertinya perlu di cek lg. Jgn sampai mereka ada di barisan yg lg di bersihkan atau yg selama ini menggerogoti indonesia.,negative
"presiden yg satu dunia nga dipercayai,,,sekali dibuka mulut rupiah tambah anjlok,data 5.61 persen itu oplosan,,,mentri dan ponakannya juga nga kompetan buat  kerja,,,bila sesuatu yg nga benar /org yg nga layak diberikn jabatan maka tunggulah kehancuran,,",negative
Anak nya malu 😅😅 gak sigh bapak nya kayak gitu ...,negative
Inti nya suku bunga BI mesti stay di 6.25-7.25% kalau mau rupiah stabil di 3% loss per year,neutral
are we cooked ?,neutral
Pemimpinnya harus ganti,negative
Korupsi,negative
Makin teriak isteris menunjukkan ketidak mampuan memimpin,negative
Kalau sampai dua puluh ribu per dolar  Prabowo mundur,negative
"Bila kita lihat grafik USDIDR setelah krisis 98, maka pada dasarnya rupiah bisa dibilang stabil hingga masa SBY berakhir, ada lonjakan2 tapi kemudian rupiah kembali ke harga awal, coba lihat grafiknya ujung2nya horizontal. Grafik mulai menukik tajam tanpa pernah turun lagi sejak 2014, yaitu sejak jokowi berkuasa hingga sekarang. Di masa jokowi proyek ugal2an bernilai triliunan yg tdk produktif dimulai, mulai jalan tol, kereta cepat, mandalika hingga IKN, semua adalah proyek besar.. tol saya blg juga tdk produktif krn tarif tol sangat mahal, lah kalo tarif tolnya mahal sama saja dgn jalan biasa artinya itu hanya menguntungkan para pengusaha tol (sebagian saham tol transjawa di kuasai swasta). Semua proyek jokowi hanya menguntungkan oligarki dan ego wong solo. Ini akibatnya bila orang bodoh diberikan kekuasaan tertinggi, dia jadi gila krn itu semua aturan ditrabas... org melihat dia sebagai sosok yg pintar namun pada dasarnya dia org yg gila.",negative
"KALO MENURUT AKU PRIBADI 
PENGUSAHA SITUS JUDI ONLINE = DAPAT KEUNTUNGAN RUPIAH DARI 2 JUTA BAHKAN LEBIH USER/PLAYERS YG BERASAL DARI PENDUDUK INDONESIA = PENGUSAHA SITUS JUDI ONLINE MENUKAR RUPIAH MENJADI DOLLAR BUAT JADI ASET 😅😅😅😅😅😅

JANGAN TERLALU JAUH ANALISIS   KEMUNGKINAN TERJADINYA PAK NANTI TERSESAT BAHKAN BI TIDK AKAN BISA MEMPREDIKSI TERKAIT HAL INI 😅😅😅",negative
"Coba bandinginnya dengan SGD. Pasti korelasi nya sama, karena banyak pengkhianat bangsa yg massif menggadai rupiah dengan SGD.",negative
Bowo suruh mundur,negative
siluman babi sialan.,negative
"Indonesia kalau di pimpin staff nya oleh Indo Chinese aku yakin maju, mindset mereka beda. Sorry to said tapi itu reality.",neutral
"Ujungnya Nawarin Investasi di aplikasi Makmur,,, Hadehhhh 🙆‍♀",negative
Thank you ko Leon. Earth bless u,negative
"Banyak penghianat bangsa depan presiden iya iya aja padahal dalem atinya dongkol. 
Karena kepentingan nya terganggu. 
Pemerintah lagi banyak musuh nya karena
1. Mafia pangan yg terganggu. Sekarang
2. Masuk ke cpo dan mineral. Belum lagi dari dalem 
3.bea cukai, pajak
4. Oligarki lokal dan global yg terganggu. 

Nah orang orang cerdas pinter S1S2S3 jangan cuma kritik tanpa solusi cuma bikin noise doang. Gimana lah caranya agar kalian bisa duduk bareng atasi masalah bangsa. 


2",neutral
"SGD SGD UP TERUS 
JD INGET KATA2 BENNIX",negative
Para pejabatnya penjahat semua,negative
dari penjelasan video ini nilai dolar US sebelumnya stabil tetapi setalah 2014 nilai dollar US naik tidak terbendung. Artinya silakan ditebak sendiri,neutral
"STOP MBG, STOP KOPDES MERAH PUTIH, TURUNIN PR*BOW SKALIAN..!!!!!!!!!!  ☣️☢️☠️⚠️",negative
Pesan ko leon adalah 'RASA TAKUT TAKAN MEMANJANGKAN UMURMU',neutral
Sayangnya pemangku kepentingan 7 + 3 = 12 : 4=  5😂,negative
"Kalau Bro Leon memang yakin dengqn penjelasan kenapa mata uang melemah dan menguat secara pasti. Bro leon tidak akan membuat podcast bisnis lagi, anda akan sangat kaya sampai akhir hayat dengan Trading mata uang forex menggunakan leverage.",negative
BI sudah naikin suku bunga 0'5% lhoo,neutral
"kerana melemahnya berpanjagan dan berterusan, maka iayanya biasa-biasa aja.. seperti Experimen Katak di rebus pelan-pelan tidak terasa panas tiba-tiba mati.",negative
